date	time	sl
20160117	6:00	0.587
20160117	7:00	0.702
20160117	8:00	0.704
20160117	9:00	0.631
20160117	10:00	0.516
20160117	11:00	0.379
20160117	12:00	0.216
20160117	13:00	0.094
20160117	14:00	0.069
20160117	15:00	0.08
20160117	16:00	0.19
20160117	17:00	0.322
20160117	18:00	0.488
20160117	19:00	0.629
20160117	20:00	0.65
20160117	21:00	0.609
20160117	22:00	0.51
20160117	23:00	0.358
20160118	0:00	0.188
20160118	1:00	0.01
20160118	2:00	-0.106
20160118	3:00	-0.123
20160118	4:00	-0.078
20160118	5:00	0.049
20160118	6:00	0.275
20160118	7:00	0.458
20160118	8:00	0.567
20160118	9:00	0.576
20160118	10:00	0.515
20160118	11:00	0.386
20160118	12:00	0.2
20160118	13:00	0.08
20160118	14:00	0.027
20160118	15:00	0.047
20160118	16:00	0.02
20160118	17:00	0.066
20160118	18:00	0.162
20160118	19:00	0.293
20160118	20:00	0.393
20160118	21:00	0.412
20160118	22:00	0.372
20160118	23:00	0.245
20160119	0:00	0.078
20160119	1:00	-0.123
20160119	2:00	-0.277
20160119	3:00	-0.364
20160119	4:00	-0.388
20160119	5:00	-0.297
20160119	6:00	-0.147
20160119	7:00	0.058
20160119	8:00	0.213
20160119	9:00	0.306
20160119	10:00	0.319
20160119	11:00	0.269
20160119	12:00	0.136
20160119	13:00	-0.053
20160119	14:00	-0.239
20160119	15:00	-0.393
20160119	16:00	-0.486
20160119	17:00	-0.508
20160119	18:00	-0.44
20160119	19:00	-0.319
20160119	20:00	-0.187
20160119	21:00	-0.078
20160119	22:00	-0.047
20160119	23:00	-0.097
20160120	0:00	-0.204
20160120	1:00	-0.361
20160120	2:00	-0.543
20160120	3:00	-0.694
20160120	4:00	-0.794
20160120	5:00	-0.792
20160120	6:00	-0.675
20160120	7:00	-0.494
20160120	8:00	-0.264
20160120	9:00	-0.086
20160120	10:00	0.034
20160120	11:00	0.092
20160120	12:00	0.08
20160120	13:00	-0.018
20160120	14:00	-0.193
20160120	15:00	-0.425
20160120	16:00	-0.62
20160120	17:00	-0.699
20160120	18:00	-0.714
20160120	19:00	-0.619
20160120	20:00	-0.45
20160120	21:00	-0.291
20160120	22:00	-0.144
20160120	23:00	-0.06
20160121	0:00	-0.06
20160121	1:00	-0.142
20160121	2:00	-0.313
20160121	3:00	-0.534
20160121	4:00	-0.724
20160121	5:00	-0.842
20160121	6:00	-0.795
20160121	7:00	-0.651
20160121	8:00	-0.449
20160121	9:00	-0.237
20160121	10:00	-0.004
20160121	11:00	0.193
20160121	12:00	0.249
20160121	13:00	0.246
20160121	14:00	0.15
20160121	15:00	-0.021
20160121	16:00	-0.215
20160121	17:00	-0.377
20160121	18:00	-0.461
20160121	19:00	-0.443
20160121	20:00	-0.342
20160121	21:00	-0.174
20160121	22:00	-0.007
20160121	23:00	0.158
20160122	0:00	0.229
20160122	1:00	0.229
20160122	2:00	0.123
20160122	3:00	-0.062
20160122	4:00	-0.279
20160122	5:00	-0.444
20160122	6:00	-0.506
20160122	7:00	-0.48
20160122	8:00	-0.347
20160122	9:00	-0.137
20160122	10:00	0.107
20160122	11:00	0.309
20160122	12:00	0.435
20160122	13:00	0.46
20160122	14:00	0.406
20160122	15:00	0.244
20160122	16:00	0.051
20160122	17:00	-0.127
20160122	18:00	-0.239
20160122	19:00	-0.273
20160122	20:00	-0.243
20160122	21:00	-0.107
20160122	22:00	0.125
20160122	23:00	0.38
20160123	0:00	0.592
20160123	1:00	0.71
20160123	2:00	0.712
20160123	3:00	0.694
20160123	4:00	0.589
20160123	5:00	0.589
20160123	6:00	0.717
20160123	7:00	0.597
20160123	8:00	0.63
20160123	9:00	0.816
20160123	10:00	0.845
20160123	11:00	1.082
20160123	12:00	1.123
20160123	13:00	1.16
20160123	14:00	1.193
20160123	15:00	1.15
20160123	16:00	1.012
20160123	17:00	0.818
20160123	18:00	0.617
20160123	19:00	0.445
20160123	20:00	0.328
20160123	21:00	0.342
20160123	22:00	0.467
20160123	23:00	0.63
20160124	0:00	0.867
20160124	1:00	1.049
20160124	2:00	1.141
20160124	3:00	1.134
20160124	4:00	0.982
20160124	5:00	0.763
20160124	6:00	0.543
20160124	7:00	0.359
20160124	8:00	0.232
20160124	9:00	0.194
20160124	10:00	0.312
20160124	11:00	0.475
20160124	12:00	0.655
20160124	13:00	0.84
20160124	14:00	0.964
20160124	15:00	0.961
20160124	16:00	0.861
20160124	17:00	0.661
20160124	18:00	0.403
20160124	19:00	0.157
20160124	20:00	-0.021
20160124	21:00	-0.085
20160124	22:00	-0.006
20160124	23:00	0.169
20160125	0:00	0.373
20160125	1:00	0.571
20160125	2:00	0.679
20160125	3:00	0.701
20160125	4:00	0.609
20160125	5:00	0.453
20160125	6:00	0.236
20160125	7:00	0.036
20160125	8:00	-0.075
20160125	9:00	-0.085
20160125	10:00	0.03
20160125	11:00	0.215
20160125	12:00	0.43
20160125	13:00	0.637
20160125	14:00	0.778
20160125	15:00	0.809
20160125	16:00	0.728
20160125	17:00	0.578
20160125	18:00	0.383
20160125	19:00	0.148
20160125	20:00	-0.034
20160125	21:00	-0.107
20160125	22:00	-0.077
20160125	23:00	0.04
20160126	0:00	0.243
20160126	1:00	0.421
20160126	2:00	0.574
20160126	3:00	0.624
20160126	4:00	0.562
20160126	5:00	0.439
20160126	6:00	0.242
20160126	7:00	0.025
20160126	8:00	-0.15
20160126	9:00	-0.237
20160126	10:00	-0.212
20160126	11:00	-0.087
20160126	12:00	0.092
20160126	13:00	0.299
20160126	14:00	0.458
20160126	15:00	0.55
20160126	16:00	0.539
20160126	17:00	0.426
20160126	18:00	0.24
20160126	19:00	0.01
20160126	20:00	-0.207
20160126	21:00	-0.335
20160126	22:00	-0.372
20160126	23:00	-0.296
20160127	0:00	-0.144
20160127	1:00	0.033
20160127	2:00	0.206
20160127	3:00	0.326
20160127	4:00	0.361
20160127	5:00	0.288
20160127	6:00	0.142
20160127	7:00	-0.048
20160127	8:00	-0.233
20160127	9:00	-0.361
20160127	10:00	-0.401
20160127	11:00	-0.332
20160127	12:00	-0.207
20160127	13:00	-0.01
20160127	14:00	0.216
20160127	15:00	0.396
20160127	16:00	0.46
20160127	17:00	0.403
20160127	18:00	0.265
20160127	19:00	0.083
20160127	20:00	-0.103
20160127	21:00	-0.245
20160127	22:00	-0.347
20160127	23:00	-0.33
20160128	0:00	-0.222
20160128	1:00	-0.076
20160128	2:00	0.103
20160128	3:00	0.243
20160128	4:00	0.331
20160128	5:00	0.352
20160128	6:00	0.274
20160128	7:00	0.145
20160128	8:00	-0.036
20160128	9:00	-0.201
20160128	10:00	-0.283
20160128	11:00	-0.289
20160128	12:00	-0.196
20160128	13:00	-0.044
20160128	14:00	0.142
20160128	15:00	0.312
20160128	16:00	0.401
20160128	17:00	0.438
20160128	18:00	0.366
20160128	19:00	0.23
20160128	20:00	0.025
20160128	21:00	-0.142
20160128	22:00	-0.257
20160128	23:00	-0.273
20160129	0:00	-0.189
20160129	1:00	-0.085
20160129	2:00	0.086
20160129	3:00	0.266
20160129	4:00	0.405
20160129	5:00	0.468
20160129	6:00	0.475
20160129	7:00	0.381
20160129	8:00	0.239
20160129	9:00	0.085
20160129	10:00	-0.026
20160129	11:00	-0.093
20160129	12:00	-0.073
20160129	13:00	0.011
20160129	14:00	0.151
20160129	15:00	0.276
20160129	16:00	0.42
20160129	17:00	0.464
20160129	18:00	0.497
20160129	19:00	0.405
20160129	20:00	0.347
20160129	21:00	0.204
20160129	22:00	0.016
20160129	23:00	-0.077
20160130	0:00	-0.104
20160130	1:00	-0.06
20160130	2:00	0.062
20160130	3:00	0.206
20160130	4:00	0.307
20160130	5:00	0.385
20160130	6:00	0.427
20160130	7:00	0.398
20160130	8:00	0.26
20160130	9:00	0.111
20160130	10:00	-0.036
20160130	11:00	-0.144
20160130	12:00	-0.191
20160130	13:00	-0.149
20160130	14:00	-0.049
20160130	15:00	0.079
20160130	16:00	0.184
20160130	17:00	0.258
20160130	18:00	0.304
20160130	19:00	0.257
20160130	20:00	0.17
20160130	21:00	0.029
20160130	22:00	-0.147
20160130	23:00	-0.243
20160131	0:00	-0.333
20160131	1:00	-0.317
20160131	2:00	-0.268
20160131	3:00	-0.145
20160131	4:00	-0.01
20160131	5:00	0.126
20160131	6:00	0.237
20160131	7:00	0.236
20160131	8:00	0.207
20160131	9:00	0.096
20160131	10:00	-0.031
20160131	11:00	-0.152
20160131	12:00	-0.218
20160131	13:00	-0.225
20160131	14:00	-0.189
20160131	15:00	-0.078
20160131	16:00	0.007
20160131	17:00	0.121
20160131	18:00	0.208
20160131	19:00	0.218
20160131	20:00	0.155
20160131	21:00	0.054
20160131	22:00	-0.063
20160131	23:00	-0.174
20160201	0:00	-0.251
20160201	1:00	-0.298
20160201	2:00	-0.309
20160201	3:00	-0.249
20160201	4:00	-0.156
20160201	5:00	-0.028
20160201	6:00	0.091
20160201	7:00	0.161
20160201	8:00	0.161
20160201	9:00	0.115
20160201	10:00	0.027
20160201	11:00	-0.119
20160201	12:00	-0.253
20160201	13:00	-0.321
20160201	14:00	-0.34
20160201	15:00	-0.267
20160201	16:00	-0.19
20160201	17:00	-0.081
20160201	18:00	0.028
20160201	19:00	0.128
20160201	20:00	0.146
20160201	21:00	0.095
20160201	22:00	-0.001
20160201	23:00	-0.109
20160202	0:00	-0.187
20160202	1:00	-0.192
20160202	2:00	-0.2
20160202	3:00	-0.171
20160202	4:00	-0.1
20160202	5:00	-0.003
20160202	6:00	0.128
20160202	7:00	0.247
20160202	8:00	0.33
20160202	9:00	0.329
20160202	10:00	0.272
20160202	11:00	0.173
20160202	12:00	0.057
20160202	13:00	-0.036
20160202	14:00	-0.093
20160202	15:00	-0.102
20160202	16:00	-0.082
20160202	17:00	0.019
20160202	18:00	0.113
20160202	19:00	0.219
20160202	20:00	0.27
20160202	21:00	0.268
20160202	22:00	0.217
20160202	23:00	0.135
20160203	0:00	0.02
20160203	1:00	-0.076
